"data","regiao","casos"
"2020-09-28","Manaus","57"
"2020-09-29","Manaus","846"
"2020-09-30","Manaus","763"
"2020-03-13","Interior","0"
"2020-03-14","Interior","0"
"2020-03-15","Interior","0"
"2020-03-16","Interior","0"
"2020-03-17","Interior","0"
"2020-03-18","Interior","0"
"2020-03-19","Interior","0"
"2020-03-20","Interior","0"
"2020-03-21","Interior","0"
"2020-03-22","Interior","0"
"2020-03-23","Interior","0"
"2020-03-24","Interior","2"
"2020-03-25","Interior","0"
"2020-03-26","Interior","1"
"2020-03-27","Interior","3"
"2020-03-28","Interior","0"
"2020-03-29","Interior","3"
"2020-03-30","Interior","2"
"2020-03-31","Interior","5"
"2020-04-01","Interior","5"
"2020-04-02","Interior","3"
"2020-04-03","Interior","4"
"2020-04-04","Interior","0"
"2020-04-05","Interior","10"
"2020-04-06","Interior","19"
"2020-04-07","Interior","18"
"2020-04-08","Interior","17"
"2020-04-09","Interior","7"
"2020-04-10","Interior","17"
"2020-04-11","Interior","3"
"2020-04-12","Interior","34"
"2020-04-13","Interior","16"
"2020-04-14","Interior","21"
"2020-04-15","Interior","15"
"2020-04-16","Interior","54"
"2020-04-17","Interior","17"
"2020-04-18","Interior","28"
"2020-04-19","Interior","76"
"2020-04-20","Interior","8"
"2020-04-21","Interior","73"
"2020-04-22","Interior","57"
"2020-04-23","Interior","83"
"2020-04-24","Interior","111"
"2020-04-25","Interior","244"
"2020-04-26","Interior","151"
"2020-04-27","Interior","84"
"2020-04-28","Interior","249"
"2020-04-29","Interior","272"
"2020-04-30","Interior","271"
"2020-05-01","Interior","250"
"2020-05-02","Interior","172"
"2020-05-03","Interior","206"
"2020-05-04","Interior","287"
"2020-05-05","Interior","408"
"2020-05-06","Interior","464"
"2020-05-07","Interior","433"
"2020-05-08","Interior","491"
"2020-05-09","Interior","489"
"2020-05-10","Interior","219"
"2020-05-11","Interior","254"
"2020-05-12","Interior","636"
"2020-05-13","Interior","839"
"2020-05-14","Interior","640"
"2020-05-15","Interior","909"
"2020-05-16","Interior","701"
"2020-05-17","Interior","540"
"2020-05-18","Interior","333"
"2020-05-19","Interior","828"
"2020-05-20","Interior","980"
"2020-05-21","Interior","989"
"2020-05-22","Interior","1021"
"2020-05-23","Interior","1107"
"2020-05-24","Interior","746"
"2020-05-25","Interior","379"
"2020-05-26","Interior","1244"
"2020-05-27","Interior","1161"
"2020-05-28","Interior","1669"
"2020-05-29","Interior","1040"
"2020-05-30","Interior","1004"
"2020-05-31","Interior","664"
"2020-06-01","Interior","322"
"2020-06-02","Interior","807"
"2020-06-03","Interior","1090"
"2020-06-04","Interior","1215"
"2020-06-05","Interior","833"
"2020-06-06","Interior","756"
"2020-06-07","Interior","432"
"2020-06-08","Interior","437"
"2020-06-09","Interior","760"
"2020-06-10","Interior","1061"
"2020-06-11","Interior","795"
"2020-06-12","Interior","992"
"2020-06-13","Interior","656"
"2020-06-14","Interior","373"
"2020-06-15","Interior","234"
"2020-06-16","Interior","767"
"2020-06-17","Interior","1059"
"2020-06-18","Interior","1124"
"2020-06-19","Interior","520"
"2020-06-20","Interior","822"
"2020-06-21","Interior","383"
"2020-06-22","Interior","271"
"2020-06-23","Interior","785"
"2020-06-24","Interior","1248"
"2020-06-25","Interior","536"
"2020-06-26","Interior","653"
"2020-06-27","Interior","743"
"2020-06-28","Interior","347"
"2020-06-29","Interior","234"
"2020-06-30","Interior","893"
"2020-07-01","Interior","810"
"2020-07-02","Interior","938"
"2020-07-03","Interior","686"
"2020-07-04","Interior","635"
"2020-07-05","Interior","437"
"2020-07-06","Interior","396"
"2020-07-07","Interior","2455"
"2020-07-08","Interior","675"
"2020-07-09","Interior","796"
"2020-07-10","Interior","856"
"2020-07-11","Interior","695"
"2020-07-12","Interior","276"
"2020-07-13","Interior","463"
"2020-07-14","Interior","975"
"2020-07-15","Interior","929"
"2020-07-16","Interior","1043"
"2020-07-17","Interior","753"
"2020-07-18","Interior","968"
"2020-07-19","Interior","246"
"2020-07-20","Interior","444"
"2020-07-21","Interior","591"
"2020-07-22","Interior","504"
"2020-07-23","Interior","894"
"2020-07-24","Interior","741"
"2020-07-25","Interior","649"
"2020-07-26","Interior","357"
"2020-07-27","Interior","112"
"2020-07-28","Interior","689"
"2020-07-29","Interior","600"
"2020-07-30","Interior","604"
"2020-07-31","Interior","477"
"2020-08-01","Interior","442"
"2020-08-02","Interior","304"
"2020-08-03","Interior","240"
"2020-08-04","Interior","536"
"2020-08-05","Interior","709"
"2020-08-06","Interior","528"
"2020-08-07","Interior","532"
"2020-08-08","Interior","522"
"2020-08-09","Interior","210"
"2020-08-10","Interior","189"
"2020-08-11","Interior","550"
"2020-08-12","Interior","463"
"2020-08-13","Interior","485"
"2020-08-14","Interior","682"
"2020-08-15","Interior","457"
"2020-08-16","Interior","295"
"2020-08-17","Interior","208"
"2020-08-18","Interior","415"
"2020-08-19","Interior","427"
"2020-08-20","Interior","427"
"2020-08-21","Interior","363"
"2020-08-22","Interior","264"
"2020-08-23","Interior","180"
"2020-08-24","Interior","157"
"2020-08-25","Interior","444"
