"estado","data","casos"
"AM","2020-10-13","147864"
"AM","2020-10-14","148518"
"AM","2020-10-15","149366"
"AM","2020-10-16","149784"
"AM","2020-10-17","151186"
"AM","2020-10-18","151597"
"AM","2020-10-19","151858"
"AM","2020-10-20","152796"
"AM","2020-10-21","154465"
"AM","2020-10-22","155230"
"AM","2020-10-23","156196"
"AM","2020-10-24","156975"
"AM","2020-10-25","157324"
"AM","2020-10-26","157668"
"AM","2020-10-27","158718"
"AM","2020-10-28","159583"
"AM","2020-10-29","160596"
"AM","2020-10-30","161434"
"AM","2020-10-31","161683"
